0,answers
"ABC Corporation, a large software developer, is involved in the creation and sales of custom billing software for companies. The figure shows their quarterly sales figures for the last four years. The company’s profit is its total sales minus the cost of pay for salespeople and typical business costs.

If salespeople earn 10% of their sales in pay and typical business costs account for 20% of the value of each sale, how much more profit was earned in 2010 than in 2007?
a  $4.0 million
b  $4.2 million
c  $5.0 million
d  $6.0 million
e  $6.4 million",1
"Computer Monitor Models

Model A Model B Model C Model D Model E
Time to Manufacture 15 minutes 18 minutes 13 minutes 20 minutes 17 minutes
% of monitors sold per total products 75% 73% 84% 95% 81%
Cost per monitor $175 $188 $145 $198 $170

A company manufactures computer monitors. Among the various models, 5 models are top products which bring high revenue.

Assuming the manufacturing lines are running for 9 hours a day for 7 days a week, which model brings in the highest revenue?
a  Model A
b  Model B
c  Model C
d  Model D
e  Model E",3
"In the course of a given month, an RV dealer purchases fourteen RVs from the manufacturer for $25,250 each and sells them at a 22% markup. The overall cost of doing business costs the RV dealer totals to $45,000 each month, in total.

After these costs, how much profit does the RV dealer make this month?
a  $5,555
b  $20,592
c  $17,109
d  $32,770
e  $77,770",3
"A new computer will load 17% faster than the old computer. It took the old computer 22 seconds to load one graphic and 9 seconds to load a paragraph of text.

If you are loading a document with 2 graphics and 1 paragraph, how long with it take the new computer to load?
a  25.73 seconds
b  31.00 seconds
c  43.99 seconds
d  53.00 seconds
e  62.01 seconds",2
"James is able to sell 15 of Product A and 16 of Product B a week, Sally is able to sell 25 of Product A and 10 of Product B a week, and Andre is able to sell 18 of Product A and 13 of Product B a week.

If Product A sells for $35.75 each and Product B sells for $42.25 each, what is the difference in the amount of money earned between the most profitable and the least profitable seller?
a  $91.00
b  $97.50
c  $104.00
d  $119.50
e  $123.50",4
"A baker filled a measuring cup with 3/4 cup water. He poured 1/2 of the water into the batter, and then spilled 1/8 cup of water on the floor.

How much water will the baker need to add to what is left in the cup to have 50% more than what he started with?
a  1/8 cup
b  3/8 cup
c  1/4 cup
d  1/2 cup
e  7/8 cup",4
"Jason is considering purchasing a new machine to make plastic silverware. The machine produces 1,000 pieces of silverware in two hours. One box contains 50 pieces of silverware and sells for $3.00.

If the machine costs $9,000, and runs for 24 hours a day, how many days will it take the machine to make enough silverware to pay for itself?
a  2.5 days
b  7.5 days
c  15 days
d  12.5 days
e  18 days",3
"A very large company is in the process of redistributing their fleet of heavy lifters across their four locations in response to different needs at each factory. Currently, the distribution of heavy lifters is as shown in the graph on the left, with the right graph being the distribution that management requests.

If there are currently 45 heavy lifters at Factory A and the company increases it's fleet by 60%, how many total lifters will be at Factory A and Factory B after they are redistributed?
a  105
b  165
c  250
d  264
e  300",3
"Betty paints twice as fast as Dan. Working together, Dan and Betty can paint 2,400 square feet in 4 hours. Another employee, Sue, joined their painting team. Working together, Dan, Betty, and Sue can paint 3,600 square feet in 3 hours.

If Sue works alone, how many square feet can she paint in 4 hours and 27 minutes?
a  600 square feet
b  1,570 square feet
c  1,700 square feet
d  2,530 square feet
e  2,670 square feet",4
"ABC Company currently has 1/4 fewer computers than it has employees.

If they currently have 80 employees and they want to hire 5% more, how many computers will they need to buy to ensure that each employee has one?
a  1 computer
b  4 computers
c  16 computers
d  24 computers
e  25 computers",3
